org_name,country,city,website,email,facebook_url,instagram_url,followers_estimate,social_strength,org_type,montessori_related,notes,dup_of_master
Aseema Charitable Trust,India,Mumbai,aseema.org,contact@aseema.org,facebook.com/p/Aseema-Charitable-Trust-100064472120838,instagram.com/aseema_charitable_trust,2662,4,ngo_program,yes,"Runs Montessori-method classrooms for slum/street children inside MCGM municipal schools; ~9,000 children/yr, Bandra + tribal Igatpuri",no
Gyan Shala,India,"Ahmedabad (HQ), multi-state",gyanshala.org,info@gyanshala.org,facebook.com/gyanshalaeso,instagram.com/eso_gyanshala,1300,2,network,no,"Large low-cost school network for poor urban/rural children, ~45,000 children/yr across 9 cities",no
Mumbai Mobile Creches,India,Mumbai,mumbaimobilecreches.org,,facebook.com/MumbaiMobileCreches,instagram.com/mumbaimobilecreches,3997,4,ngo_program,no,"Daycare/education for children of construction-site migrant workers, 29 centres, 4,500+ children/yr since 1972",no
Mobile Creches (Delhi),India,Delhi NCR,mobilecreches.org,mail@mobilecreches.org,facebook.com/crechesmobile,instagram.com/mobilecreches,2900,5,ngo_program,no,"Founded 1969; 44 daycare centres for construction-worker children, ~14,000 children/yr",no
Pratham,India,"Mumbai (HQ), pan-India",pratham.org,info@pratham.org,facebook.com/PrathamEducationFoundation,instagram.com/prathameducation,86402,8,network,no,"India's largest ECE/literacy NGO; early-years programs in 18 states, reached 56 lakh+ children via govt partnerships",no
Akshara Foundation,India,Bengaluru,akshara.org.in,info@akshara.org.in,facebook.com/aksharadotorg,instagram.com/aksharadotorg,6999,5,ngo_program,no,"Balwadi preschool program + ECD centres; 700,000+ children reached in Karnataka since 2000",no
Shanti Bhavan,India,Tamil Nadu (near Bangalore),shantibhavanchildren.org,info@shantibhavanchildren.org,facebook.com/ShantiBhavan,instagram.com/shanti_bhavan,47000,8,network,no,Free K-college boarding school network for families earning <$2/day; ~300 children; Netflix's Daughters of Destiny,no
Deepalaya,India,New Delhi (+ Kolkata branch),deepalaya.org,deepalaya_wb_ngo@yahoo.co.in,facebook.com/Deepalaya,instagram.com/deepalayango,10879,5,network,no,"Largest operational NGO in Delhi NCR; preschools + schools for slum children, 270,000+ children reached",no
Bal Umang Drishya Sanstha (BUDS),India,New Delhi,budsngo.org,info@budsngo.org,facebook.com/budsngonewdelhi,instagram.com/balumangdrishyasanstha,5622,3,ngo_program,no,"Drop-in centres with play-based early education for street/slum children in Delhi NCR + Nuh, Haryana",no
Isha Vidhya,India,"Coimbatore, Tamil Nadu",consciousplanet.org/en/isha-vidhya,info@ishavidhya.org,facebook.com/ishavidhya,instagram.com/ishavidhya,30788,7,network,no,"9 rural low-cost schools across Tamil Nadu, 8,900+ children, 63% on scholarship (Sadhguru's Isha Education)",no
